#,Search Query,Context Cluster,Intent,Funnel,SL,TF,Priority Score,Tier,Target URL
77,buy vegetables wholesale price Kenya,Wholesale / Bulk Buying,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/wholesale
78,bulk grocery supplier for supermarkets Kenya,Wholesale / Bulk Buying,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/wholesale
79,wholesale produce delivery Nairobi,Wholesale / Bulk Buying,Transactional,BOFU,2,3,6,P1,https://market.tradly.co.ke/browse
80,catering supplies supplier Kenya,Catering & Events Supply,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/for/caterers
81,food supplier for events Kenya,Catering & Events Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/caterers
82,bulk food supply for catering business Kenya,Catering & Events Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/caterers
83,fresh produce for caterers Nairobi,Catering & Events Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/caterers
84,wedding and event food supplier Kenya,Catering & Events Supply,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/for/caterers
85,corporate event catering supplies Kenya,Catering & Events Supply,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/for/caterers
86,hospital food supplier Kenya,Healthcare / Hospital Supply,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/for/hospitals
87,fresh produce supplier for hospitals,Healthcare / Hospital Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/hospitals
88,medical facility catering supplier Kenya,Healthcare / Hospital Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/hospitals
89,hospital kitchen food supply Kenya,Healthcare / Hospital Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/hospitals
90,supply vegetables to hospitals Kenya,Healthcare / Hospital Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/hospitals
91,healthcare institution procurement supplier Kenya,Healthcare / Hospital Supply,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/for/hospitals
92,school food supplier Kenya,Education / School Supply,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/for/schools
93,boarding school food supplier Kenya,Education / School Supply,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/for/schools
94,fresh produce supplier for schools Nairobi,Education / School Supply,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/for/schools
95,school kitchen vegetable supplier Kenya,Education / School Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/schools
96,supply food to schools Kenya,Education / School Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/schools
97,institutional catering supplier for colleges Kenya,Education / School Supply,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/for/schools
98,school feeding program produce supplier Kenya,Education / School Supply,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/for/schools
99,bulk food supplier for universities Kenya,Education / School Supply,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/for/schools
100,corporate fruit hampers Kenya,Corporate Gifting / Staff Welfare,Commercial,MOFU,2,2,4,P2,https://market.tradly.co.ke/corporate-gifting
101,staff welfare fresh produce Kenya,Corporate Gifting / Staff Welfare,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/corporate-gifting
102,corporate gifting hampers Nairobi,Corporate Gifting / Staff Welfare,Commercial,MOFU,2,2,4,P2,https://market.tradly.co.ke/corporate-gifting
103,fruit baskets for offices Kenya,Corporate Gifting / Staff Welfare,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/corporate-gifting
104,employee welfare food package supplier Kenya,Corporate Gifting / Staff Welfare,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/corporate-gifting
105,farmer aggregator platform Kenya,Farmer Aggregation / Cooperatives,Supply-side,MOFU,1,2,2,P3,https://market.tradly.co.ke/sell
106,cooperative produce buyer Kenya,Farmer Aggregation / Cooperatives,Supply-side,MOFU,1,2,2,P3,https://market.tradly.co.ke/sell
107,off-take agreement for farmers Kenya,Farmer Aggregation / Cooperatives,Supply-side,MOFU,1,2,2,P3,https://market.tradly.co.ke/blog/guaranteed-market-for-farmers-offtake
108,sell produce to aggregator Kenya,Farmer Aggregation / Cooperatives,Supply-side,MOFU,1,3,3,P2,https://market.tradly.co.ke/sell
109,guaranteed market for farmers Kenya,Farmer Aggregation / Cooperatives,Informational,TOFU,2,3,6,P1,https://market.tradly.co.ke/blog/guaranteed-market-for-farmers-offtake
110,cheapest vegetable supplier Nairobi,Price / Cost-saving / Comparison,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/wholesale
111,compare produce prices suppliers Kenya,Price / Cost-saving / Comparison,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/how-it-works
112,reduce food procurement costs restaurant,Price / Cost-saving / Comparison,Informational,TOFU,2,3,6,P1,https://market.tradly.co.ke/blog/reduce-food-procurement-costs-restaurant
113,best price fresh produce supplier Kenya,Price / Cost-saving / Comparison,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/categories/fresh-produce
114,affordable bulk vegetables Nairobi,Price / Cost-saving / Comparison,Commercial,MOFU,2,3,6,P1,https://market.tradly.co.ke/wholesale
115,market price vegetables Kenya today,Price / Cost-saving / Comparison,Informational,TOFU,3,2,6,P1,https://market.tradly.co.ke/market-prices
116,eTIMS compliant supplier Kenya,Compliance / eTIMS / Formal Invoicing,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/etims-compliance
117,supplier that issues KRA invoice Kenya,Compliance / eTIMS / Formal Invoicing,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/etims-compliance
118,produce supplier with eTIMS invoice,Compliance / eTIMS / Formal Invoicing,Commercial,MOFU,1,3,3,P2,https://market.tradly.co.ke/etims-compliance
119,VAT compliant food supplier Kenya,Compliance / eTIMS / Formal Invoicing,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/etims-compliance
120,registered supplier with tax invoice Kenya,Compliance / eTIMS / Formal Invoicing,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/etims-compliance
121,Tradly,Branded / Navigational,Navigational,BOFU,2,3,6,P1,https://market.tradly.co.ke/
122,tradly market,Branded / Navigational,Navigational,BOFU,2,3,6,P1,https://market.tradly.co.ke/
123,market.tradly.co.ke,Branded / Navigational,Navigational,BOFU,1,3,3,P2,https://market.tradly.co.ke/
124,Tradly marketplace,Branded / Navigational,Navigational,BOFU,1,3,3,P2,https://market.tradly.co.ke/
125,Tradly login,Branded / Navigational,Navigational,BOFU,1,3,3,P2,https://market.tradly.co.ke/login
126,Tradly Kenya produce,Branded / Navigational,Navigational,BOFU,1,3,3,P2,https://market.tradly.co.ke/categories/fresh-produce
127,Tradly supplier,Branded / Navigational,Navigational,BOFU,1,3,3,P2,https://market.tradly.co.ke/sell
128,Tradly reviews,Branded / Navigational,Commercial,MOFU,1,2,2,P3,https://market.tradly.co.ke/reviews
129,is Tradly legit,Branded / Navigational,Informational,MOFU,1,2,2,P3,https://market.tradly.co.ke/reviews
130,how to source produce for a hotel Kenya,Problem-aware / Informational,Informational,TOFU,1,3,3,P2,https://market.tradly.co.ke/blog/source-produce-for-hotel-kenya
131,how to find reliable food suppliers Kenya,Problem-aware / Informational,Informational,TOFU,2,3,6,P1,https://market.tradly.co.ke/blog/find-reliable-food-suppliers-restaurant-kenya
132,how to reduce spoilage in restaurant supply,Problem-aware / Informational,Informational,TOFU,1,2,2,P3,https://market.tradly.co.ke/blog/reduce-spoilage-restaurant-supply-chain
133,how to buy vegetables directly from farmers,Problem-aware / Informational,Informational,TOFU,2,3,6,P1,https://market.tradly.co.ke/blog/buy-fresh-produce-direct-from-farmers-kenya
134,best way to procure fresh produce for business,Problem-aware / Informational,Informational,TOFU,1,3,3,P2,https://market.tradly.co.ke/blog/procure-fresh-produce-for-business
135,how to get consistent produce supply Kenya,Problem-aware / Informational,Informational,TOFU,1,3,3,P2,https://market.tradly.co.ke/blog/consistent-fresh-produce-supply-kenya
136,how to manage restaurant suppliers Kenya,Problem-aware / Informational,Informational,TOFU,1,2,2,P3,https://market.tradly.co.ke/blog/manage-restaurant-suppliers-kenya
137,how to sell farm produce to institutions,Problem-aware / Informational,Informational,TOFU,2,3,6,P1,https://market.tradly.co.ke/blog/sell-farm-produce-to-hotels-schools-institutions
